song_name,duration,artist,album,album_cover,played_at
Superheroes,245466,The Script,No Sound Without Silence,https://i.scdn.co/image/ab67616d0000b27359d2079e141301ab89b6cbc5,2022-06-20T15:21:00.360Z
What You Know,191706,Two Door Cinema Club,Tourist History,https://i.scdn.co/image/ab67616d0000b2731d579563f814da8508cafad2,2022-06-20T15:16:54.677Z
Thinking out Loud,281560,Ed Sheeran,x (Wembley Edition),https://i.scdn.co/image/ab67616d0000b273407981084d79d283e24d428e,2022-06-20T15:13:42.739Z
As It Was,167303,Harry Styles,As It Was,https://i.scdn.co/image/ab67616d0000b273b46f74097655d7f353caab14,2022-06-20T14:55:26.144Z
Woman,278800,Harry Styles,Harry Styles,https://i.scdn.co/image/ab67616d0000b2736c619c39c853f8b1d67b7859,2022-06-20T14:46:44.654Z
Satellite,218577,Harry Styles,Harry's House,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0,2022-06-20T14:40:58.638Z
Adore You,207133,Harry Styles,Fine Line,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a,2022-06-20T07:20:22.921Z
The Climb,234520,Miley Cyrus,The Time Of Our Lives (International Version),https://i.scdn.co/image/ab67616d0000b2734ea6653890e297d53e93e3e0,2022-06-20T07:16:35.061Z
True Love,148571,Kanye West,True Love,https://i.scdn.co/image/ab67616d0000b273f52f6a4706fea3bde44467c3,2022-06-23T01:57:22.484Z
Bam Bam (feat. Ed Sheeran),206070,Camila Cabello,Familia,https://i.scdn.co/image/ab67616d0000b273370ed6a9ced20874385fb147,2022-06-23T01:54:17.109Z
Come Thru,236360,Drake,Nothing Was The Same (Deluxe),https://i.scdn.co/image/ab67616d0000b273adfb5909ec66db5fbb4d06c8,2022-06-23T01:50:51.005Z
Homecoming,203493,Kanye West,Graduation,https://i.scdn.co/image/ab67616d0000b27326f7f19c7f0381e56156c94a,2022-06-23T00:05:32.370Z
True Love,148571,Kanye West,True Love,https://i.scdn.co/image/ab67616d0000b273f52f6a4706fea3bde44467c3,2022-06-22T23:57:47.305Z
Glimpse of Us,233456,Joji,Glimpse of Us,https://i.scdn.co/image/ab67616d0000b273f798d46201c266747be5db2e,2022-06-22T23:52:56.953Z
Untouchable (Taylor’s Version),312107,Taylor Swift,Fearless (Taylor's Version),https://i.scdn.co/image/ab67616d0000b273a48964b5d9a3d6968ae3e0de,2022-06-22T22:36:22.490Z
Nice For What,210746,Drake,Scorpion,https://i.scdn.co/image/ab67616d0000b273f907de96b9a4fbc04accc0d5,2022-06-22T21:56:22.359Z
You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),220839,Taylor Swift,Fearless (Taylor's Version),https://i.scdn.co/image/ab67616d0000b273a48964b5d9a3d6968ae3e0de,2022-06-22T20:39:28.718Z
Today Was A Fairytale (Taylor’s Version),241822,Taylor Swift,Fearless (Taylor's Version),https://i.scdn.co/image/ab67616d0000b273a48964b5d9a3d6968ae3e0de,2022-06-22T20:35:27.014Z
Untouchable (Taylor’s Version),312107,Taylor Swift,Fearless (Taylor's Version),https://i.scdn.co/image/ab67616d0000b273a48964b5d9a3d6968ae3e0de,2022-06-22T20:28:10.103Z
Style,231000,Taylor Swift,1989 (Deluxe),https://i.scdn.co/image/ab67616d0000b27352b2a3824413eefe9e33817a,2022-06-22T20:22:57.953Z
When We Were Young,290900,Adele,25,https://i.scdn.co/image/ab67616d0000b2732e88d7f65e6bea2a05202c14,2022-06-22T17:43:24.693Z
Untouchable (Taylor’s Version),312107,Taylor Swift,Fearless (Taylor's Version),https://i.scdn.co/image/ab67616d0000b273a48964b5d9a3d6968ae3e0de,2022-06-22T16:14:10.731Z
Get You The Moon (feat. Snøw),179080,Kina,Get You The Moon (feat. Snøw),https://i.scdn.co/image/ab67616d0000b2730a64e2680bbc44107022e326,2022-06-22T16:08:58.448Z
Sad Beautiful Tragic (Taylor's Version),284773,Taylor Swift,Red (Taylor's Version),https://i.scdn.co/image/ab67616d0000b273318443aab3531a0558e79a4d,2022-06-22T16:05:59.085Z
Untouchable (Taylor’s Version),312107,Taylor Swift,Fearless (Taylor's Version),https://i.scdn.co/image/ab67616d0000b273a48964b5d9a3d6968ae3e0de,2022-06-22T16:00:02.154Z
